Entropy,LongestWord,SpecialCh,TotalLines,AverageChPerLine,ASTDepth,FunWithRisk,Result
1.669172641159286,8,0.3165137614678899,2,218,27,3,1
1.669172641159286,8,0.3165137614678899,2,218,27,3,1
1.7091291479169235,7,0.3078556263269639,2,235.5,25,3,1
1.669172641159286,8,0.3165137614678899,2,218,27,3,1
1.7091291479169235,7,0.3078556263269639,2,235.5,25,3,1
1.7091291479169235,7,0.3078556263269639,2,235.5,25,3,1
1.4280126663533383,13,0.38496583143507973,1,439,9,1,1
1.4280126663533383,13,0.38496583143507973,1,439,9,1,1
1.4280126663533383,13,0.38496583143507973,1,439,9,1,1
1.440217835844783,13,0.3878504672897196,1,428,9,1,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.5289984631393265,8,0.21614583333333334,4,96,7,1,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.428014828439381,16,0.2690909090909091,4,137.5,7,0,1
1.428014828439381,16,0.2690909090909091,4,137.5,7,0,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.428014828439381,16,0.2690909090909091,4,137.5,7,0,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
1.4223117881877496,14,0.21149897330595482,1,487,17,2,1
